name, surface, status, finger, part, usability, memorability, preference
lyq, vertical, relax, index, fingernail, 5.0, 3.0, 4.0
lyq, vertical, relax, middle, fingernail, 4.0, 3.0, 3.0
lyq, vertical, relax, ring, fingernail, 2.0, 3.0, 2.0
lyq, vertical, relax, pinkie, fingernail, 4.0, 3.0, 3.0
lyq, vertical, relax, two, fingernail, 5.0, 3.0, 4.0
lyq, vertical, relax, three, fingernail, 3.0, 3.0, 2.0
lc, vertical, fist, thumb, fingerpulp, 4.0, 5.0, 4.0
lc, vertical, fist, index, fingerpulp, 7.0, 7.0, 7.0
lc, vertical, fist, middle, fingerpulp, 5.0, 7.0, 5.0
lc, vertical, fist, ring, fingerpulp, 3.0, 5.0, 3.0
lc, vertical, fist, pinkie, fingerpulp, 5.0, 6.0, 5.0
lc, vertical, fist, two, fingerpulp, 6.0, 7.0, 6.0
lc, vertical, fist, three, fingerpulp, 4.0, 7.0, 5.0
lc, vertical, fist, thumb, fingertip, 4.0, 5.0, 3.0
lc, vertical, fist, index, fingertip, 7.0, 7.0, 7.0
lc, vertical, fist, middle, fingertip, 6.0, 7.0, 5.0
lc, vertical, fist, ring, fingertip, 4.0, 5.0, 3.0
lc, vertical, fist, pinkie, fingertip, 6.0, 6.0, 5.0
lc, vertical, fist, two, fingertip, 7.0, 7.0, 7.0
lc, vertical, fist, three, fingertip, 5.0, 7.0, 6.0
lc, vertical, fist, thumb, fingerside, 3.0, 3.0, 3.0
lc, vertical, fist, index, fingerside, 4.0, 5.0, 4.0
lc, vertical, fist, middle, fingerside, 3.0, 4.0, 3.0
lc, vertical, fist, ring, fingerside, 2.0, 4.0, 2.0
lc, vertical, fist, pinkie, fingerside, 4.0, 5.0, 4.0
lc, vertical, fist, two, fingerside, 3.0, 6.0, 3.0
lc, vertical, fist, three, fingerside, 2.0, 4.0, 2.0
lc, vertical, fist, thumb, knuckle, 2.0, 3.0, 2.0
lc, vertical, fist, index, knuckle, 6.0, 7.0, 5.0
lc, vertical, fist, middle, knuckle, 7.0, 7.0, 6.0
lc, vertical, fist, ring, knuckle, 5.0, 5.0, 5.0
lc, vertical, fist, pinkie, knuckle, 5.0, 5.0, 5.0
lc, vertical, fist, two, knuckle, 4.0, 6.0, 4.0
lc, vertical, fist, three, knuckle, 3.0, 5.0, 2.0
lc, vertical, fist, thumb, fingernail, 3.0, 3.0, 3.0
